question_id,split
Q000001,train
Q000002,train
Q000003,train
Q000004,train
Q000005,train
Q000006,train
Q000007,train
Q000008,train
Q000009,train
Q000010,train
Q000011,train
Q000012,train
Q000013,val
Q000014,test
Q000015,val
Q000016,train
Q000017,train
Q000018,train
Q000019,train
Q000020,train
Q000021,train
Q000022,val
Q000023,train
Q000024,train
Q000025,train
Q000026,train
Q000027,train
Q000028,val
Q000029,train
Q000030,train
Q000031,train
Q000032,train
Q000033,train
Q000034,train
Q000035,train
Q000036,train
Q000037,val
Q000038,train
Q000039,train
Q000040,train
Q000041,val
Q000042,val
Q000043,train
Q000044,train
Q000045,train
Q000046,train
Q000047,test
Q000048,train
Q000049,train
Q000050,train
Q000051,train
Q000052,train
Q000053,train
Q000054,train
Q000055,train
Q000056,train
Q000057,train
Q000058,test
Q000059,train
Q000060,train
Q000061,train
Q000062,val
Q000063,train
Q000064,train
Q000065,train
Q000066,train
Q000067,train
Q000068,train
Q000069,train
Q000070,test
Q000071,train
Q000072,test
Q000073,train
Q000074,train
Q000075,train
Q000076,train
Q000077,test
Q000078,train
Q000079,test
Q000080,train
Q000081,train
Q000082,train
Q000083,train
Q000084,train
Q000085,train
Q000086,val
Q000087,train
Q000088,train
Q000089,train
Q000090,val
Q000091,test
Q000092,train
Q000093,train
Q000094,train
Q000095,train
Q000096,train
Q000097,train
Q000098,test
Q000099,train
Q000100,train
Q000101,val
Q000102,train
Q000103,train
Q000104,train
Q000105,val
Q000106,train
Q000107,train
Q000108,train
Q000109,train
Q000110,train
Q000111,val
Q000112,test
Q000113,train
Q000114,train
Q000115,train
Q000116,train
Q000117,train
Q000118,train
Q000119,train
Q000120,train
Q000121,train
Q000122,train
Q000123,test
Q000124,train
Q000125,val
Q000126,train
Q000127,train
Q000128,train
Q000129,train
Q000130,test
Q000131,train
Q000132,train
Q000133,train
Q000134,train
Q000135,train
Q000136,train
Q000137,train
Q000138,train
Q000139,train
Q000140,train
Q000141,val
Q000142,train
Q000143,train
Q000144,train
Q000145,train
Q000146,train
Q000147,train
Q000148,train
Q000149,train
Q000150,train
Q000151,train
Q000152,train
Q000153,train
Q000154,val
Q000155,train
Q000156,train
Q000157,train
Q000158,train
Q000159,train
Q000160,train
Q000161,train
Q000162,val
Q000163,train
Q000164,train
Q000165,train
Q000166,val
Q000167,train
Q000168,test
Q000169,test
Q000170,train
Q000171,train
Q000172,train
Q000173,train
Q000174,train
Q000175,train
Q000176,train
Q000177,val
Q000178,val
Q000179,train
Q000180,train
Q000181,train
Q000182,train
Q000183,train
Q000184,train
Q000185,train
Q000186,train
Q000187,val
Q000188,train
Q000189,train
Q000190,train
Q000191,train
Q000192,train
Q000193,train
Q000194,train
Q000195,train
Q000196,val
Q000197,train
Q000198,train
Q000199,train
Q000200,train
Q000201,train
Q000202,val
Q000203,val
Q000204,train
Q000205,train
Q000206,train
Q000207,val
Q000208,train
Q000209,train
Q000210,train
Q000211,train
Q000212,val
Q000213,test
Q000214,test
Q000215,train
Q000216,val
Q000217,train
Q000218,test
Q000219,train
Q000220,train
Q000221,train
Q000222,train
Q000223,test
Q000224,train
Q000225,train
Q000226,train
Q000227,val
Q000228,train
Q000229,train
Q000230,train
Q000231,val
Q000232,train
Q000233,train
Q000234,val
Q000235,train
Q000236,train
Q000237,train
Q000238,train
Q000239,train
Q000240,train
Q000241,train
Q000242,test
Q000243,train
Q000244,train
Q000245,train
Q000246,train
Q000247,train
Q000248,train
Q000249,train
Q000250,test
Q000251,train
Q000252,test
Q000253,train
Q000254,train
Q000255,train
Q000256,train
Q000257,train
Q000258,train
Q000259,train
Q000260,train
Q000261,train
Q000262,train
Q000263,test
Q000264,train
Q000265,train
Q000266,train
Q000267,train
Q000268,train
Q000269,val
Q000270,val
Q000271,test
Q000272,train
Q000273,train
Q000274,train
Q000275,train
Q000276,train
Q000277,train
Q000278,val
Q000279,train
Q000280,train
Q000281,test
Q000282,train
Q000283,train
Q000284,train
Q000285,train
Q000286,train
Q000287,train
Q000288,train
Q000289,train
Q000290,train
Q000291,train
Q000292,train
Q000293,val
Q000294,test
Q000295,train
Q000296,train
Q000297,train
Q000298,train
Q000299,train
Q000300,train
Q000301,train
Q000302,train
Q000303,train
Q000304,train
Q000305,train
Q000306,test
Q000307,test
Q000308,train
Q000309,val
Q000310,train
Q000311,train
Q000312,train
Q000313,test
Q000314,test
Q000315,test
Q000316,train
Q000317,train
Q000318,train
Q000319,train
Q000320,train
Q000321,train
Q000322,val
Q000323,train
Q000324,train
Q000325,val
Q000326,val
Q000327,train
Q000328,train
Q000329,train
Q000330,train
Q000331,train
Q000332,train
Q000333,train
Q000334,val
Q000335,train
Q000336,test
Q000337,train
Q000338,train
Q000339,val
Q000340,train
Q000341,val
Q000342,val
Q000343,test
Q000344,train
Q000345,train
Q000346,train
Q000347,train
Q000348,test
Q000349,train
Q000350,train
Q000351,train
Q000352,train
Q000353,train
Q000354,train
Q000355,train
Q000356,train
Q000357,test
Q000358,train
Q000359,train
Q000360,test
Q000361,train
Q000362,train
Q000363,train
Q000364,train
Q000365,train
Q000366,train
Q000367,train
Q000368,train
Q000369,train
Q000370,train
Q000371,val
Q000372,test
Q000373,val
Q000374,test
Q000375,train
Q000376,train
Q000377,train
Q000378,train
Q000379,train
Q000380,train
Q000381,val
Q000382,val
Q000383,train
Q000384,train
Q000385,train
Q000386,train
Q000387,val
Q000388,train
Q000389,train
Q000390,train
Q000391,test
Q000392,train
Q000393,val
Q000394,train
Q000395,train
Q000396,train
Q000397,train
Q000398,train
Q000399,train
Q000400,train
Q000401,train
Q000402,train
Q000403,test
Q000404,train
Q000405,train
Q000406,train
Q000407,train
Q000408,train
Q000409,train
Q000410,test
Q000411,train
Q000412,train
Q000413,train
Q000414,test
Q000415,train
Q000416,train
Q000417,train
Q000418,train
Q000419,train
Q000420,train
Q000421,train
Q000422,test
Q000423,test
Q000424,train
Q000425,train
Q000426,train
Q000427,train
Q000428,train
Q000429,train
Q000430,train
Q000431,train
Q000432,train
Q000433,train
Q000434,train
Q000435,train
Q000436,val
Q000437,train
Q000438,train
Q000439,train
Q000440,train
Q000441,train
Q000442,train
Q000443,train
Q000444,train
Q000445,train
Q000446,train
Q000447,test
Q000448,val
Q000449,val
Q000450,train
Q000451,train
Q000452,train
Q000453,train
Q000454,train
Q000455,test
Q000456,train
Q000457,val
Q000458,train
Q000459,train
Q000460,train
Q000461,train
Q000462,train
Q000463,train
Q000464,train
Q000465,train
Q000466,train
Q000467,train
Q000468,train
Q000469,train
Q000470,test
Q000471,train
Q000472,train
Q000473,val
Q000474,train
Q000475,val
Q000476,train
Q000477,test
Q000478,val
Q000479,train
Q000480,train
Q000481,train
Q000482,test
Q000483,train
Q000484,train
Q000485,train
Q000486,train
Q000487,train
Q000488,val
Q000489,train
Q000490,train
Q000491,train
Q000492,train
Q000493,train
Q000494,train
Q000495,test
Q000496,val
Q000497,train
Q000498,train
Q000499,train
Q000500,train
Q000501,train
Q000502,train
Q000503,test
Q000504,train
Q000505,train
Q000506,train
Q000507,train
Q000508,train
Q000509,train
Q000510,train
Q000511,train
Q000512,val
Q000513,train
Q000514,train
Q000515,train
Q000516,train
Q000517,train
Q000518,train
Q000519,train
Q000520,train
Q000521,train
Q000522,train
Q000523,test
Q000524,train
Q000525,train
Q000526,train
Q000527,val
Q000528,train
Q000529,train
Q000530,train
Q000531,train
Q000532,train
Q000533,train
Q000534,train
Q000535,val
Q000536,train
Q000537,train
Q000538,train
Q000539,train
Q000540,train
Q000541,train
Q000542,val
Q000543,val
Q000544,train
Q000545,train
Q000546,train
Q000547,train
Q000548,val
Q000549,train
Q000550,train
Q000551,train
Q000552,test
Q000553,train
Q000554,train
Q000555,train
Q000556,train
Q000557,test
Q000558,train
Q000559,train
Q000560,train
Q000561,train
Q000562,train
Q000563,train
Q000564,train
Q000565,train
Q000566,train
Q000567,train
Q000568,train
Q000569,train
Q000570,train
Q000571,train
Q000572,train
Q000573,train
Q000574,train
Q000575,train
Q000576,test
Q000577,test
Q000578,train
Q000579,test
Q000580,train
Q000581,val
Q000582,train
Q000583,train
Q000584,train
Q000585,train
Q000586,train
Q000587,train
Q000588,train
Q000589,train
Q000590,train
Q000591,train
Q000592,train
Q000593,train
Q000594,train
Q000595,train
Q000596,train
Q000597,train
Q000598,train
Q000599,train
Q000600,train
Q000601,train
Q000602,test
Q000603,train
Q000604,train
Q000605,train
Q000606,train
Q000607,train
Q000608,train
Q000609,train
Q000610,train
Q000611,train
Q000612,train
Q000613,train
Q000614,train
Q000615,train
Q000616,train
Q000617,train
Q000618,test
Q000619,train
Q000620,val
Q000621,test
Q000622,train
Q000623,train
Q000624,train
Q000625,train
Q000626,train
Q000627,train
Q000628,test
Q000629,train
Q000630,test
Q000631,train
Q000632,train
Q000633,train
Q000634,train
Q000635,train
Q000636,train
Q000637,train
Q000638,val
Q000639,train
Q000640,train
Q000641,train
Q000642,train
Q000643,train
Q000644,train
Q000645,train
Q000646,train
Q000647,test
Q000648,train
Q000649,train
Q000650,train
Q000651,train
Q000652,train
Q000653,train
Q000654,train
Q000655,train
Q000656,train
Q000657,test
Q000658,val
Q000659,train
Q000660,train
Q000661,val
Q000662,train
Q000663,train
Q000664,test
Q000665,train
Q000666,train
Q000667,train
Q000668,train
Q000669,val
Q000670,train
Q000671,train
Q000672,train
Q000673,train
Q000674,val
Q000675,test
Q000676,train
Q000677,train
Q000678,train
Q000679,train
Q000680,train
Q000681,test
Q000682,train
Q000683,train
Q000684,train
Q000685,train
Q000686,train
Q000687,train
Q000688,train
Q000689,train
Q000690,train
Q000691,train
Q000692,train
Q000693,train
Q000694,train
Q000695,test
Q000696,train
Q000697,train
Q000698,train
Q000699,test
Q000700,train
Q000701,train
Q000702,test
Q000703,train
Q000704,train
Q000705,train
Q000706,train
Q000707,train
Q000708,train
Q000709,train
Q000710,test
Q000711,train
Q000712,train
Q000713,test
Q000714,train
Q000715,train
Q000716,train
Q000717,train
Q000718,train
Q000719,val
Q000720,train
Q000721,train
Q000722,train
Q000723,train
Q000724,train
Q000725,val
Q000726,train
Q000727,train
Q000728,val
Q000729,train
Q000730,train
Q000731,test
Q000732,train
Q000733,val
Q000734,train
Q000735,test
Q000736,train
Q000737,train
Q000738,test
Q000739,train
Q000740,train
Q000741,train
Q000742,test
Q000743,test
Q000744,train
Q000745,test
Q000746,train
Q000747,test
Q000748,train
Q000749,train
Q000750,test
Q000751,train
Q000752,train
Q000753,train
Q000754,train
Q000755,val
Q000756,train
Q000757,train
Q000758,test
Q000759,train
Q000760,val
Q000761,train
Q000762,train
Q000763,train
Q000764,test
Q000765,train
Q000766,train
Q000767,train
Q000768,train
Q000769,train
Q000770,test
Q000771,train
Q000772,test
Q000773,train
Q000774,test
Q000775,train
Q000776,train
Q000777,train
Q000778,train
Q000779,test
Q000780,train
Q000781,train
Q000782,train
Q000783,train
Q000784,train
Q000785,train
Q000786,train
Q000787,train
Q000788,train
Q000789,test
Q000790,train
Q000791,test
Q000792,train
Q000793,train
Q000794,train
Q000795,train
Q000796,train
Q000797,test
Q000798,train
Q000799,train
Q000800,train
Q000801,train
Q000802,train
Q000803,test
Q000804,train
Q000805,train
Q000806,train
Q000807,train
Q000808,train
Q000809,train
Q000810,train
Q000811,train
Q000812,train
Q000813,train
Q000814,train
Q000815,train
Q000816,train
Q000817,train
Q000818,train
Q000819,train
Q000820,train
Q000821,train
Q000822,test
Q000823,train
Q000824,test
Q000825,train
Q000826,train
Q000827,train
Q000828,train
Q000829,train
Q000830,train
Q000831,train
Q000832,test
Q000833,test
Q000834,train
Q000835,train
Q000836,test
Q000837,train
Q000838,train
Q000839,train
Q000840,train
Q000841,val
Q000842,train
Q000843,test
Q000844,train
Q000845,train
Q000846,train
Q000847,train
Q000848,train
Q000849,train
Q000850,train
Q000851,train
Q000852,train
Q000853,train
Q000854,train
Q000855,train
Q000856,train
Q000857,train
Q000858,train
Q000859,train
Q000860,val
Q000861,train
Q000862,train
Q000863,train
Q000864,train
Q000865,train
Q000866,val
Q000867,train
Q000868,train
Q000869,test
Q000870,val
Q000871,train
Q000872,train
Q000873,train
Q000874,val
Q000875,train
Q000876,train
Q000877,train
Q000878,test
Q000879,train
Q000880,train
Q000881,train
Q000882,train
Q000883,train
Q000884,val
Q000885,train
Q000886,train
Q000887,test
Q000888,train
Q000889,train
Q000890,train
Q000891,train
Q000892,train
Q000893,train
Q000894,train
Q000895,train
Q000896,train
Q000897,train
Q000898,train
Q000899,train
Q000900,train
Q000901,train
Q000902,train
Q000903,train
Q000904,test
Q000905,train
Q000906,val
Q000907,val
Q000908,test
Q000909,train
Q000910,train
Q000911,train
Q000912,train
Q000913,train
Q000914,train
Q000915,val
Q000916,train
Q000917,train
Q000918,test
Q000919,test
Q000920,train
Q000921,train
Q000922,test
Q000923,train
Q000924,train
Q000925,train
Q000926,train
Q000927,train
Q000928,train
Q000929,train
Q000930,test
Q000931,train
Q000932,train
Q000933,train
Q000934,val
Q000935,test
Q000936,train
Q000937,train
Q000938,train
Q000939,train
Q000940,train
Q000941,train
Q000942,train
Q000943,train
Q000944,train
Q000945,train
Q000946,train
Q000947,train
Q000948,val
Q000949,test
Q000950,train
Q000951,train
Q000952,train
Q000953,train
Q000954,train
Q000955,train
Q000956,train
Q000957,test
Q000958,train
Q000959,train
Q000960,train
Q000961,train
Q000962,train
Q000963,train
Q000964,train
Q000965,train
Q000966,train
Q000967,train
Q000968,train
Q000969,train
Q000970,train
Q000971,train
Q000972,train
Q000973,train
Q000974,train
Q000975,val
Q000976,train
Q000977,test
Q000978,train
Q000979,train
Q000980,train
Q000981,train
Q000982,train
Q000983,train
Q000984,train
Q000985,train
Q000986,train
Q000987,train
Q000988,val
Q000989,train
Q000990,train
Q000991,train
Q000992,test
Q000993,train
Q000994,train
Q000995,train
Q000996,val
Q000997,train
Q000998,train
Q000999,train
Q001000,train
Q001001,train
Q001002,train
Q001003,train
Q001004,train
Q001005,train
Q001006,train
Q001007,val
Q001008,test
Q001009,train
Q001010,train
Q001011,train
Q001012,train
Q001013,val
Q001014,train
Q001015,train
Q001016,train
Q001017,train
Q001018,train
Q001019,train
Q001020,test
Q001021,train
Q001022,test
Q001023,train
Q001024,train
Q001025,train
Q001026,train
Q001027,train
Q001028,val
Q001029,train
Q001030,train
Q001031,train
Q001032,train
Q001033,train
Q001034,train
Q001035,train
Q001036,train
Q001037,val
Q001038,train
Q001039,train
Q001040,train
Q001041,test
Q001042,train
Q001043,train
Q001044,train
Q001045,train
Q001046,train
Q001047,train
Q001048,train
Q001049,train
Q001050,train
Q001051,train
Q001052,train
Q001053,test
Q001054,train
Q001055,train
Q001056,train
Q001057,train
Q001058,train
Q001059,test
Q001060,test
Q001061,train
Q001062,train
Q001063,train
Q001064,train
Q001065,train
Q001066,train
Q001067,train
Q001068,train
Q001069,train
Q001070,val
Q001071,train
Q001072,train
Q001073,train
Q001074,train
Q001075,train
Q001076,train
Q001077,train
Q001078,train
Q001079,val
Q001080,val
Q001081,train
Q001082,train
Q001083,train
Q001084,test
Q001085,train
Q001086,train
Q001087,train
Q001088,train
Q001089,train
Q001090,train
Q001091,val
Q001092,val
Q001093,train
Q001094,train
Q001095,train
Q001096,train
Q001097,train
Q001098,train
Q001099,train
Q001100,train
Q001101,train
Q001102,train
Q001103,train
Q001104,test
Q001105,train
Q001106,train
Q001107,train
Q001108,train
Q001109,train
Q001110,train
Q001111,train
Q001112,train
Q001113,train
Q001114,train
Q001115,val
Q001116,val
Q001117,test
Q001118,val
Q001119,train
Q001120,train
Q001121,train
Q001122,train
Q001123,train
Q001124,train
Q001125,train
Q001126,train
Q001127,train
Q001128,val
Q001129,train
Q001130,train
Q001131,train
Q001132,test
Q001133,train
Q001134,train
Q001135,train
Q001136,train
Q001137,train
Q001138,train
Q001139,train
Q001140,train
Q001141,train
Q001142,train
Q001143,train
Q001144,val
Q001145,train
Q001146,train
Q001147,test
Q001148,train
Q001149,test
Q001150,train
Q001151,train
Q001152,test
Q001153,train
Q001154,train
Q001155,train
Q001156,train
Q001157,train
Q001158,train
Q001159,test
Q001160,train
Q001161,train
Q001162,train
Q001163,train
Q001164,train
Q001165,train
Q001166,train
Q001167,train
Q001168,train
Q001169,train
Q001170,train
Q001171,train
Q001172,train
Q001173,train
Q001174,train
Q001175,train
Q001176,train
Q001177,val
Q001178,train
Q001179,test
Q001180,train
Q001181,train
Q001182,test
Q001183,train
Q001184,train
Q001185,test
Q001186,val
Q001187,train
Q001188,train
Q001189,train
Q001190,train
Q001191,train
Q001192,val
Q001193,train
Q001194,train
Q001195,test
Q001196,train
Q001197,train
Q001198,train
Q001199,train
Q001200,train
Q001201,train
Q001202,train
Q001203,train
Q001204,train
Q001205,train
Q001206,test
Q001207,val
Q001208,val
Q001209,val
Q001210,train
Q001211,train
Q001212,train
Q001213,test
Q001214,train
Q001215,test
Q001216,train
Q001217,train
Q001218,train
Q001219,train
Q001220,train
Q001221,test
Q001222,train
Q001223,train
Q001224,train
Q001225,train
Q001226,train
Q001227,train
Q001228,val
Q001229,train
Q001230,train
Q001231,val
Q001232,train
Q001233,train
Q001234,train
Q001235,val
Q001236,train
Q001237,train
Q001238,train
Q001239,train
Q001240,test
Q001241,train
Q001242,test
Q001243,train
Q001244,test
Q001245,train
Q001246,val
Q001247,train
Q001248,train
Q001249,train
Q001250,val
Q001251,test
Q001252,train
Q001253,test
Q001254,train
Q001255,train
Q001256,train
Q001257,train
Q001258,train
Q001259,train
Q001260,train
Q001261,train
Q001262,train
Q001263,train
Q001264,train
Q001265,train
Q001266,train
Q001267,train
Q001268,train
Q001269,train
Q001270,train
Q001271,train
Q001272,train
Q001273,train
Q001274,train
Q001275,train
Q001276,train
Q001277,test
Q001278,val
Q001279,test
Q001280,train
Q001281,test
Q001282,test
Q001283,train
Q001284,train
Q001285,train
Q001286,train
Q001287,train
Q001288,train
Q001289,train
Q001290,train
Q001291,train
Q001292,train
Q001293,train
Q001294,train
Q001295,train
Q001296,train
Q001297,train
Q001298,train
Q001299,train
Q001300,train
Q001301,train
Q001302,train
Q001303,val
Q001304,train
Q001305,train
Q001306,train
Q001307,train
Q001308,train
Q001309,train
Q001310,train
Q001311,train
Q001312,val
Q001313,train
Q001314,train
Q001315,train
Q001316,train
Q001317,train
Q001318,train
Q001319,train
Q001320,train
Q001321,train
Q001322,train
Q001323,train
Q001324,val
Q001325,train
Q001326,train
Q001327,train
Q001328,train
Q001329,train
Q001330,train
Q001331,train
Q001332,train
Q001333,train
Q001334,train
Q001335,train
Q001336,val
Q001337,train
Q001338,val
Q001339,train
Q001340,train
Q001341,test
Q001342,train
Q001343,train
Q001344,val
Q001345,train
Q001346,train
Q001347,train
Q001348,train
Q001349,train
Q001350,train
Q001351,train
Q001352,train
Q001353,train
Q001354,train
Q001355,train
Q001356,val
Q001357,val
Q001358,train
Q001359,test
Q001360,train
Q001361,train
Q001362,train
Q001363,train
Q001364,train
Q001365,train
Q001366,train
Q001367,train
Q001368,val
Q001369,val
Q001370,train
Q001371,train
Q001372,train
Q001373,train
Q001374,val
Q001375,train
Q001376,train
Q001377,test
Q001378,train
Q001379,train
Q001380,train
Q001381,train
Q001382,val
Q001383,train
Q001384,train
Q001385,train
Q001386,train
Q001387,train
Q001388,train
Q001389,train
Q001390,train
Q001391,train
Q001392,train
Q001393,train
Q001394,train
Q001395,train
Q001396,test
Q001397,train
Q001398,train
Q001399,test
Q001400,train
Q001401,train
Q001402,train
Q001403,train
Q001404,train
Q001405,train
Q001406,train
Q001407,train
Q001408,train
Q001409,train
Q001410,train
Q001411,train
Q001412,train
Q001413,train
Q001414,train
Q001415,train
Q001416,train
Q001417,train
Q001418,val
Q001419,train
Q001420,test
Q001421,train
Q001422,train
Q001423,train
Q001424,val
Q001425,test
Q001426,train
Q001427,train
Q001428,train
Q001429,train
Q001430,train
Q001431,train
Q001432,test
Q001433,train
Q001434,train
Q001435,train
Q001436,train
Q001437,train
Q001438,train
Q001439,train
Q001440,train
Q001441,val
Q001442,val
Q001443,val
Q001444,train
Q001445,train
Q001446,train
Q001447,train
Q001448,train
Q001449,train
Q001450,test
Q001451,train
Q001452,train
Q001453,train
Q001454,train
Q001455,val
Q001456,val
Q001457,val
Q001458,train
Q001459,train
Q001460,train
Q001461,train
Q001462,train
Q001463,train
Q001464,test
Q001465,train
Q001466,train
Q001467,train
Q001468,train
Q001469,train
Q001470,train
Q001471,train
Q001472,train
Q001473,train
Q001474,train
Q001475,train
Q001476,train
Q001477,train
Q001478,train
Q001479,train
Q001480,train
Q001481,train
Q001482,val
Q001483,train
Q001484,train
Q001485,train
Q001486,train
Q001487,test
Q001488,train
Q001489,train
Q001490,train
Q001491,train
Q001492,train
Q001493,train
Q001494,train
Q001495,train
Q001496,train
Q001497,train
Q001498,val
Q001499,train
Q001500,train
Q001501,train
Q001502,train
Q001503,train
Q001504,train
Q001505,train
Q001506,train
Q001507,train
Q001508,train
Q001509,train
Q001510,train
Q001511,train
Q001512,val
Q001513,train
Q001514,train
Q001515,train
Q001516,test
Q001517,train
Q001518,train
Q001519,train
Q001520,train
Q001521,test
Q001522,train
Q001523,train
Q001524,val
Q001525,train
Q001526,train
Q001527,train
Q001528,train
Q001529,train
Q001530,train
Q001531,train
Q001532,train
Q001533,test
Q001534,train
Q001535,train
Q001536,val
Q001537,train
Q001538,train
Q001539,train
Q001540,train
Q001541,train
Q001542,train
Q001543,train
Q001544,train
Q001545,train
Q001546,train
Q001547,train
Q001548,test
Q001549,train
Q001550,train
Q001551,test
Q001552,train
Q001553,train
Q001554,train
Q001555,train
Q001556,train
Q001557,train
Q001558,train
Q001559,val
Q001560,val
Q001561,train
Q001562,train
Q001563,train
Q001564,train
Q001565,train
Q001566,train
Q001567,val
Q001568,train
Q001569,train
Q001570,train
Q001571,train
Q001572,train
Q001573,val
Q001574,val
Q001575,train
Q001576,train
Q001577,val
Q001578,train
Q001579,val
Q001580,train
Q001581,train
Q001582,train
Q001583,train
Q001584,train
Q001585,train
Q001586,train
Q001587,train
Q001588,val
Q001589,train
Q001590,train
Q001591,val
Q001592,val
Q001593,train
Q001594,train
Q001595,train
Q001596,train
Q001597,train
Q001598,train
Q001599,train
Q001600,val
Q001601,train
Q001602,train
Q001603,train
Q001604,train
Q001605,train
Q001606,val
Q001607,test
Q001608,train
Q001609,val
Q001610,train
Q001611,train
Q001612,test
Q001613,train
Q001614,train
Q001615,train
Q001616,train
Q001617,test
Q001618,test
Q001619,train
Q001620,train
Q001621,train
Q001622,train
Q001623,val
Q001624,train
Q001625,train
Q001626,train
Q001627,train
Q001628,train
Q001629,test
Q001630,train
Q001631,test
Q001632,train
Q001633,train
Q001634,test
Q001635,test
Q001636,train
Q001637,train
Q001638,train
Q001639,train
Q001640,train
Q001641,train
Q001642,train
Q001643,train
Q001644,train
Q001645,val
Q001646,train
Q001647,train
Q001648,test
Q001649,train
Q001650,train
Q001651,train
Q001652,train
Q001653,train
Q001654,train
Q001655,test
Q001656,train
Q001657,train
Q001658,test
Q001659,train
Q001660,train
Q001661,train
Q001662,train
Q001663,train
Q001664,train
Q001665,train
Q001666,train
Q001667,train
Q001668,test
Q001669,train
Q001670,train
Q001671,train
Q001672,train
Q001673,test
Q001674,val
Q001675,train
Q001676,val
Q001677,train
Q001678,train
Q001679,val
Q001680,train
Q001681,train
Q001682,train
Q001683,train
Q001684,train
Q001685,train
Q001686,train
Q001687,train
Q001688,train
Q001689,train
Q001690,train
Q001691,train
Q001692,train
Q001693,train
Q001694,train
Q001695,test
Q001696,train
Q001697,train
Q001698,train
Q001699,train
Q001700,train
Q001701,train
Q001702,train
Q001703,train
Q001704,train
Q001705,train
Q001706,train
Q001707,train
Q001708,train
Q001709,train
Q001710,train
Q001711,train
Q001712,train
Q001713,train
Q001714,train
Q001715,train
Q001716,train
Q001717,train
Q001718,train
Q001719,val
Q001720,train
Q001721,train
Q001722,train
Q001723,test
Q001724,train
Q001725,train
Q001726,test
Q001727,val
Q001728,train
Q001729,train
Q001730,train
Q001731,train
Q001732,train
Q001733,train
Q001734,train
Q001735,val
Q001736,train
Q001737,train
Q001738,train
Q001739,train
Q001740,train
Q001741,train
Q001742,train
Q001743,train
Q001744,val
Q001745,train
Q001746,train
Q001747,train
Q001748,train
Q001749,train
Q001750,val
Q001751,train
Q001752,test
Q001753,val
Q001754,train
Q001755,train
Q001756,val
Q001757,train
Q001758,train
Q001759,val
Q001760,test
Q001761,train
Q001762,val
Q001763,train
Q001764,train
Q001765,val
Q001766,train
Q001767,train
Q001768,test
Q001769,train
Q001770,train
Q001771,train
Q001772,train
Q001773,train
Q001774,val
Q001775,train
Q001776,train
Q001777,val
Q001778,train
Q001779,train
Q001780,train
Q001781,train
Q001782,train
Q001783,train
Q001784,val
Q001785,train
Q001786,train
Q001787,train
Q001788,train
Q001789,train
Q001790,train
Q001791,test
Q001792,train
Q001793,train
Q001794,train
Q001795,train
Q001796,test
Q001797,train
Q001798,train
Q001799,train
Q001800,train
Q001801,test
Q001802,train
Q001803,train
Q001804,train
Q001805,train
Q001806,train
Q001807,train
Q001808,train
Q001809,train
Q001810,train
Q001811,test
Q001812,train
Q001813,train
Q001814,train
Q001815,train
Q001816,val
Q001817,train
Q001818,train
Q001819,train
Q001820,train
Q001821,train
Q001822,train
Q001823,val
Q001824,train
Q001825,train
Q001826,test
Q001827,train
Q001828,train
Q001829,train
Q001830,train
Q001831,train
Q001832,val
Q001833,train
Q001834,train
Q001835,train
Q001836,train
Q001837,test
Q001838,train
Q001839,train
Q001840,train
Q001841,train
Q001842,train
Q001843,test
Q001844,test
Q001845,test
Q001846,test
Q001847,train
Q001848,train
Q001849,train
Q001850,train
Q001851,test
